OutcomeType	Breed	Color	Name	Selected	AnimalType	SexuponOutcome	AgeuponOutcome
Adoption Died Euthanasia Return_to_owner Transfer	string	string	string	No Yes	Cat Dog	Intact\ Female Intact\ Male Neutered\ Male Spayed\ Female Unknown	Under\ 1\ year 1-3\ years 4-6\ years 7-10\ years 11+\ years
class	meta	meta	meta	meta			
Return_to_owner	Shetland Sheepdog Mix	Brown/White	Hambone	No	Dog	Neutered Male	1-3 years
Euthanasia	Domestic Shorthair Mix	Cream Tabby	Emily	No	Cat	Spayed Female	1-3 years
Adoption	Pit Bull Mix	Blue/White	Pearce	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue Cream		No	Cat	Intact Male	Under 1 year
Transfer	Lhasa Apso/Miniature Poodle	Tan		No	Dog	Neutered Male	1-3 years
Transfer	Cairn Terrier/Chihuahua Shorthair	Black/Tan	Elsa	No	Dog	Intact Female	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby	Jimmy	No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Unknown	Under 1 year
Adoption	American Pit Bull Terrier Mix	Red/White	Lucy	No	Dog	Spayed Female	Under 1 year
Adoption	Cairn Terrier	White		No	Dog	Spayed Female	1-3 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Unknown	1-3 years
Adoption	Miniature Schnauzer Mix	Silver		No	Dog	Spayed Female	1-3 years
Adoption	Pit Bull Mix	Brown	Rocket	No	Dog	Neutered Male	4-6 years
Return_to_owner	Yorkshire Terrier Mix	Black/Red	Scooter	No	Dog	Neutered Male	1-3 years
Return_to_owner	Great Pyrenees Mix	White/Cream	Preston	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby/White	Oliver	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Pit Bull Mix	Brown/White		No	Dog	Intact Female	Under 1 year
Transfer	Angora Mix	White	Chrissy	No	Cat	Intact Female	1-3 years
Return_to_owner	Flat Coat Retriever Mix	Black	Kuma	No	Dog	Neutered Male	1-3 years
Transfer	Queensland Heeler Mix	Black/White	Anders	No	Dog	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	White	Munchkin	No	Cat	Spayed Female	1-3 years
Adoption	Plott Hound/Boxer	Brown Brindle/White	Jamaica	No	Dog	Spayed Female	1-3 years
Adoption	German Shepherd Mix	Brown/White	Quattro	No	Dog	Neutered Male	Under 1 year
Return_to_owner	German Shepherd Mix	Black/Brown	Trigger	No	Dog	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Orange Tabby	Olive	No	Cat	Intact Female	Under 1 year
Adoption	American Staffordshire Terrier Mix	Chocolate/White	Nia	No	Dog	Spayed Female	Under 1 year
Adoption	Chihuahua Shorthair Mix	White/Tan	Chloe	No	Dog	Spayed Female	4-6 years
Adoption	Domestic Shorthair Mix	Cream Tabby/White	Cymbale	No	Cat	Spayed Female	Under 1 year
Return_to_owner	Russian Blue Mix	Blue	Jax	No	Cat	Neutered Male	7-10 years
Euthanasia	Domestic Shorthair Mix	Calico		No	Cat	Spayed Female	1-3 years
Transfer	Labrador Retriever Mix	Black/White	Murphy	No	Dog	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Torbie		No	Cat	Spayed Female	Under 1 year
Return_to_owner	Collie Smooth/German Shepherd	Brown/Black	Jesse	No	Dog	Neutered Male	4-6 years
Transfer	Chihuahua Shorthair Mix	Brown	Delgado	No	Dog	Neutered Male	1-3 years
Euthanasia	Labrador Retriever Mix	Yellow		No	Dog	Intact Male	1-3 years
Return_to_owner	Pit Bull Mix	Brown/White	Pony Boy	No	Dog	Neutered Male	1-3 years
Transfer	Domestic Shorthair Mix	Blue/White		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Black/White	Mica	No	Cat	Neutered Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Blue Tabby	Pilar	No	Cat	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Orange Tabby		No	Cat	Intact Male	Under 1 year
Transfer	Domestic Shorthair Mix	Brown Tabby	Lucy	No	Cat	Intact Female	Under 1 year
Transfer	Domestic Longhair Mix	Black/White		No	Cat	Intact Male	4-6 years
Adoption	Domestic Shorthair Mix	Black/White	Ali	No	Cat	Neutered Male	1-3 years
Return_to_owner	Beagle	Tricolor	Chester	No	Dog	Neutered Male	11+ years
Return_to_owner	Domestic Shorthair Mix	White/Black	Daisy	No	Cat	Spayed Female	7-10 years
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Female	Under 1 year
Adoption	German Shepherd Mix	Black/Brown	Edith	No	Dog	Spayed Female	Under 1 year
Euthanasia	Pit Bull/Labrador Retriever	Chocolate/White		No	Dog	Intact Male	4-6 years
Transfer	Domestic Shorthair Mix	Tortie		No	Cat	Intact Female	1-3 years
Adoption	Domestic Shorthair Mix	Brown Tabby	Caty	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Blue Tabby/White		No	Cat	Intact Female	Under 1 year
Adoption	Blue Lacy Mix	Gray/White	Gabe	No	Dog	Neutered Male	1-3 years
Adoption	Domestic Shorthair Mix	Orange Tabby/White	Beth	No	Cat	Spayed Female	Under 1 year
Transfer	Domestic Shorthair Mix	Black		No	Cat	Intact Male	Under 1 year
Adoption	Domestic Shorthair Mix	Calico	Bashful	No	Cat	Spayed Female	Under 1 year
Transfer	Chihuahua Shorthair Mix	Tan		No	Dog	Intact Male	1-3 years
